date,time,direction,turn,NF_actual,NF_forecast,previous,UR_actual,UR_forecast,UR_previous,HS_actual,HS_forecast,HS_previous
2009/9/4,2009/9/4 20:30,Short,0,-216,-220,-276,9.7,9.5,9.4,0.3,0.1,0.3
2009/10/2,2009/10/2 20:30,Short,0,-263,-190,-201,9.8,9.8,9.7,0.1,0.2,0.4
2009/11/6,2009/11/6 21:30,Short,0,-190,-166,-219,10.2,9.9,9.8,0.3,0.1,0.1
2009/12/4,2009/12/4 21:30,Short,0,-11,-114,-111,10,10.2,10.2,0.1,0.2,0.3
2010/1/8,2010/1/8 21:30,Short,0,-85,0,4,10,10.1,10,0.2,0.2,0.2
2010/2/5,2010/2/5 21:30,Short,0,-20,15,-150,9.7,10,10,0.3,0.2,0.2
2010/3/5,2010/3/5 21:30,Short,0,-36,-55,-26,9.7,9.8,9.7,0.1,0.2,0.3
2010/4/2,2010/4/2 20:30,Short,0,162,190,-14,9.7,9.7,9.7,-0.1,0.2,0.2
2010/5/7,2010/5/7 20:30,Short,0,290,187,230,9.9,9.7,9.7,0.1,0.2,-0.1
2010/6/4,2010/6/4 20:30,Short,0,431,500,290,9.7,9.8,9.9,0.3,0.1,0.1
2010/7/2,2010/7/2 20:30,Short,0,-125,-100,433,9.5,9.8,9.7,-0.1,0.1,0.2
2010/8/6,2010/8/6 20:30,Short,0,-131,-65,-221,9.5,9.6,9.5,0.2,0.1,0
2010/9/3,2010/9/3 20:30,Short,0,-54,-118,-54,9.6,9.6,9.5,0.3,0.1,0.2
2010/10/8,2010/10/8 20:30,Short,0,-95,3,-57,9.6,9.7,9.6,0.1,0.1,0.3
2010/11/5,2010/11/5 20:30,Short,0,151,60,-41,9.6,9.6,9.6,0.2,0.1,0.1
2010/12/3,2010/12/3 21:30,Short,0,39,140,172,9.8,9.6,9.6,0,0.1,0.3
2011/1/7,2011/1/7 21:30,Short,0,103,150,71,9.4,9.7,9.8,0.1,0.1,0
2011/2/4,2011/2/4 21:30,Short,0,36,150,121,9,9.6,9.4,0.4,0.2,0.1
2011/3/4,2011/3/4 21:30,Short,0,192,180,63,8.9,9.1,9,0,0.2,0.4
2011/4/1,2011/4/1 20:30,Short,0,216,188,194,8.8,8.9,8.9,0.2,0.2,0
2011/5/6,2011/5/6 20:30,Short,0,244,185,221,9,8.8,8.8,0.1,0.2,0.2
2011/6/3,2011/6/3 20:30,Short,0,54,169,232,9.1,9,9,0.3,0.2,0.1
2011/7/8,2011/7/8 20:30,Short,0,18,89,25,9.2,9.1,9.1,0,0.2,0.3
2011/8/5,2011/8/5 20:30,Short,0,117,95,46,9.1,9.2,9.2,0.4,0.2,0
2011/9/2,2011/9/2 20:30,Short,0,57,74,85,9.1,9.1,9.1,-0.1,0.2,0.5
2011/10/7,2011/10/7 20:30,Short,0,103,53,57,9.1,9.1,9.1,0.2,0.2,-0.2
2011/11/4,2011/11/4 20:30,Short,0,80,95,158,9,9.1,9.1,0.2,0.2,0.3
2011/12/2,2011/12/2 21:30,Short,0,120,120,100,8.6,9,9,-0.1,0.2,0.3
