timestamp,actual,forecast,previous
1970/1/2 12:30,153,nan,
1970/2/6 12:30,-64,nan,153
1970/3/6 12:30,128,nan,-64
1970/4/3 12:30,148,nan,128
1970/5/1 12:30,-104,nan,148
1970/6/5 12:30,-225,nan,-104
1970/7/3 12:30,-94,nan,-225
1970/8/7 12:30,24,nan,-94
1970/9/4 12:30,-120,nan,24
1970/10/2 12:30,15,nan,-120
1970/11/6 12:30,-429,nan,15
1970/12/4 12:30,-110,nan,-429
1971/1/1 12:30,381,nan,-110
1971/2/5 12:30,76,nan,381
1971/3/5 12:30,-60,nan,76
1971/4/2 12:30,53,nan,-60
1971/5/7 12:30,178,nan,53
1971/6/4 12:30,210,nan,178
1971/7/2 12:30,6,nan,210
1971/8/6 12:30,62,nan,6
1971/9/3 12:30,55,nan,62
1971/10/1 12:30,247,nan,55
1971/11/5 12:30,25,nan,247
1971/12/3 12:30,204,nan,25
1972/1/7 12:30,262,nan,204
1972/2/4 12:30,337,nan,262
1972/3/3 12:30,207,nan,337
1972/4/7 12:30,293,nan,207
1972/5/5 12:30,218,nan,293
1972/6/2 12:30,304,nan,218
1972/7/7 12:30,293,nan,304
1972/8/4 12:30,-52,nan,293
1972/9/1 12:30,430,nan,-52
1972/10/6 12:30,125,nan,430
1972/11/3 12:30,410,nan,125
1972/12/1 12:30,294,nan,410
1973/1/5 12:30,303,nan,294
1973/2/2 12:30,351,nan,303
1973/3/2 12:30,396,nan,351
1973/4/6 12:30,268,nan,396
1973/5/4 12:30,170,nan,268
1973/6/1 12:30,191,nan,170
1973/7/6 12:30,241,nan,191
1973/8/3 12:30,24,nan,241
1973/9/7 12:30,255,nan,24
1973/10/5 12:30,110,nan,255
1973/11/2 12:30,330,nan,110
1973/12/7 12:30,306,nan,330
1974/1/4 12:30,123,nan,306
1974/2/1 12:30,69,nan,123
1974/3/1 12:30,150,nan,69
1974/4/5 12:30,42,nan,150
1974/5/3 12:30,86,nan,42
1974/6/7 12:30,165,nan,86
1974/7/5 12:30,55,nan,165
1974/8/2 12:30,33,nan,55
1974/9/6 12:30,-16,nan,33
1974/10/4 12:30,-8,nan,-16
1974/11/1 12:30,18,nan,-8
1974/12/6 12:30,-368,nan,18
1975/1/3 12:30,-604,nan,-368
1975/2/7 12:30,-360,nan,-604
1975/3/7 12:30,-378,nan,-360
1975/4/4 12:30,-270,nan,-378
1975/5/2 12:30,-188,nan,-270
1975/6/6 12:30,162,nan,-188
1975/7/4 12:30,-103,nan,162
1975/8/1 12:30,249,nan,-103
1975/9/5 12:30,386,nan,249
1975/10/3 12:30,75,nan,386
1975/11/7 12:30,305,nan,75
1975/12/5 12:30,145,nan,305
1976/1/2 12:30,338,nan,145
1976/2/6 12:30,488,nan,338
1976/3/5 12:30,311,nan,488
1976/4/2 12:30,232,nan,311
1976/5/7 12:30,243,nan,232
1976/6/4 12:30,19,nan,243
1976/7/2 12:30,65,nan,19
1976/8/6 12:30,171,nan,65
1976/9/3 12:30,157,nan,171
1976/10/1 12:30,188,nan,157
1976/11/5 12:30,13,nan,188
1976/12/3 12:30,332,nan,13
1977/1/7 12:30,211,nan,332
1977/2/4 12:30,244,nan,211
1977/3/4 12:30,296,nan,244
1977/4/1 12:30,403,nan,296
1977/5/6 12:30,338,nan,403
1977/6/3 12:30,360,nan,338
1977/7/1 12:30,399,nan,360
1977/8/5 12:30,348,nan,399
1977/9/2 12:30,238,nan,348
1977/10/7 12:30,458,nan,238
1977/11/4 12:30,262,nan,458
1977/12/2 12:30,379,nan,262
1978/1/6 12:30,235,nan,379
1978/2/3 12:30,187,nan,235
1978/3/3 12:30,353,nan,187
1978/4/7 12:30,513,nan,353
1978/5/5 12:30,702,nan,513
1978/6/2 12:30,346,nan,702
1978/7/7 12:30,442,nan,346
1978/8/4 12:30,254,nan,442
1978/9/1 12:30,276,nan,254
1978/10/6 12:30,137,nan,276
1978/11/3 12:30,336,nan,137
1978/12/1 12:30,437,nan,336
1979/1/5 12:30,282,nan,437
1979/2/2 12:30,137,nan,282
1979/3/2 12:30,244,nan,137
1979/4/6 12:30,426,nan,244
1979/5/4 12:30,-62,nan,426
1979/6/1 12:30,373,nan,-62
1979/7/6 12:30,318,nan,373
1979/8/3 12:30,106,nan,318
1979/9/7 12:30,82,nan,106
1979/10/5 12:30,28,nan,82
1979/11/2 12:30,157,nan,28
1979/12/7 12:30,94,nan,157
1980/1/4 12:30,97,nan,94
1980/2/1 12:30,129,nan,97
1980/3/7 12:30,80,nan,129
1980/4/4 12:30,112,nan,80
1980/5/2 12:30,-144,nan,112
1980/6/6 12:30,-431,nan,-144
1980/7/4 12:30,-320,nan,-431
1980/8/1 12:30,-262,nan,-320
1980/9/5 12:30,260,nan,-262
1980/10/3 12:30,113,nan,260
